EmployeeID,Age,AvgDailyHours,Education,EducationField,Gender,WFH Setup Available,IsIndividualContributor,JobInvolvement,JobRole,MaritalStatus,Resource Allocation,MonthlyIncome,PercentSalaryHike,PerformanceRating,RemoteWorkSatistfaction,TotalWorkingYears,WorkLifeBalance,WorkLoadLevel,YearsAtCompany,Mental Fatigue Score,Burn Rate,Designation,HasFlexibleTimings,Company Type
100001,36,6.45,5,Technical Degree,Male,No,Yes,1,Manufacturing Director,Divorced,3,175000,21,1,Medium,8,2,Low,8,3.8,0.16,2,No,Service
100002,24,8.48,5,Technical Degree,Male,Yes,Yes,1,Sales Representative,Married,2,16667,11,3,Very High,1,2,High,0,5,0.36,1,No,Service
100003,45,6.93,2,Technical Degree,Female,Yes,Yes,3,Manufacturing Director,Married,,350000,19,4,High,17,4,Low,17,5.8,0.49,2,No,Product
100004,29,7.1,4,Medical,Male,Yes,No,4,Manufacturing Director,Single,1,25000,25,3,Medium,2,2,,1,2.6,0.2,1,No,Service
100005,30,7.3,3,Life Sciences,Female,No,Yes,2,Healthcare Representative,Single,7,166667,20,4,Very High,9,1,Medium,3,6.9,0.52,3,No,Service
100006,31,10.78,2,Medical,Male,Yes,Yes,4,Research Director,Divorced,4,116667,11,2,High,9,4,High,2,3.6,0.29,2,Yes,Product
100007,22,8.31,1,Marketing,Male,No,Yes,4,Research Director,Single,6,25000,25,1,Very High,1,3,Low,1,7.9,0.62,3,Yes,Service
100008,29,9.32,4,Human Resources,Male,Yes,No,3,Research Director,Single,4,108333,12,2,High,5,3,Medium,5,4.4,0.33,2,No,Service
100009,47,7.4,4,Human Resources,Female,No,No,1,Manager,Married,6,233333,14,2,Low,16,2,High,6,,0.56,3,No,Service
100010,43,6.08,2,Human Resources,Male,No,Yes,1,Human Resources,Single,6,291667,12,2,Very Low,16,1,Medium,7,,0.67,3,Yes,Product
100011,51,8.38,5,Human Resources,Female,Yes,Yes,1,Sales Executive,Divorced,3,283333,13,2,High,10,2,High,10,5.3,0.5,2,No,Product
100012,33,9.38,2,Human Resources,Female,Yes,Yes,3,Healthcare Representative,Single,1,225000,9,4,Medium,9,3,High,0,1.8,0.12,0,Yes,Service
100013,58,6.29,2,Marketing,Female,Yes,Yes,4,Sales Executive,Divorced,5,566667,15,2,Very High,28,1,Low,19,,0.4,2,Yes,Service
100014,46,9.81,4,Life Sciences,Female,No,Yes,4,Laboratory Technician,Married,3,475000,7,2,High,25,1,High,9,,0.33,1,Yes,Product
100015,36,6.71,5,Medical,Male,Yes,No,1,Healthcare Representative,Divorced,3,91667,8,1,Very High,4,2,Medium,1,5.8,0.51,1,No,Product
100016,50,6.2,2,Marketing,Female,Yes,No,4,Healthcare Representative,Divorced,5,250000,22,4,Very High,16,1,Low,0,4.7,0.32,3,No,Service
100017,48,9.42,5,Human Resources,Female,Yes,,1,Research Director,Married,2,158333,7,2,Medium,12,2,,5,5.9,0.39,1,No,Service
100018,40,8.48,1,Other,Male,No,Yes,3,Research Scientist,Single,6,208333,17,1,Very Low,11,4,High,3,6.7,,3,No,Service
100019,,8.88,1,Marketing,Male,Yes,Yes,4,Sales Executive,Divorced,4,33333,15,3,Low,2,2,High,0,4,0.22,2,No,Product
100020,24,10.29,2,Marketing,Male,No,Yes,2,Laboratory Technician,Single,5,58333,16,2,Low,3,4,Medium,1,,0.68,3,No,Service
100021,35,7.38,5,Medical,Male,No,Yes,4,Sales Executive,Married,4,133333,9,2,High,5,3,High,2,7.6,0.57,2,No,Product
100022,,10.67,3,Marketing,Female,Yes,No,4,Manager,Divorced,3,1024,10,3,High,0,2,Low,0,6.3,0.47,1,No,Service
100023,46,7.1,3,Medical,Male,Yes,No,1,Research Scientist,Single,3,183333,9,1,Very High,10,1,Low,6,6.7,0.46,1,No,Service
