,EmployeeID,Age,AvgDailyHours,Education,EducationField,Gender,WFH Setup Available,IsIndividualContributor,JobInvolvement,JobRole,MaritalStatus,Resource Allocation,MonthlyIncome,PercentSalaryHike,PerformanceRating,RemoteWorkSatistfaction,TotalWorkingYears,WorkLifeBalance,WorkLoadLevel,YearsAtCompany,Mental Fatigue Score,Burn Rate,Designation,HasFlexibleTimings,Company Type
0,100001,36.0,6.45,5,Technical Degree,Male,No,Yes,1,Manufacturing Director,Divorced,3.0,175000,21,1,Medium,8.0,2,Low,8.0,3.8,0.16,2,No,Service
1,100002,24.0,8.48,5,Technical Degree,Male,Yes,Yes,1,Sales Representative,Married,2.0,16667,11,3,Very High,1.0,2,High,0.0,5.0,0.36,1,No,Service
4,100005,30.0,7.3,3,Life Sciences,Female,No,Yes,2,Healthcare Representative,Single,7.0,166667,20,4,Very High,9.0,1,Medium,3.0,6.9,0.52,3,No,Service
5,100006,31.0,10.78,2,Medical,Male,Yes,Yes,4,Research Director,Divorced,4.0,116667,11,2,High,9.0,4,High,2.0,3.6,0.29,2,Yes,Product
6,100007,22.0,8.31,1,Marketing,Male,No,Yes,4,Research Director,Single,6.0,25000,25,1,Very High,1.0,3,Low,1.0,7.9,0.62,3,Yes,Service
7,100008,29.0,9.32,4,Human Resources,Male,Yes,No,3,Research Director,Single,4.0,108333,12,2,High,5.0,3,Medium,5.0,4.4,0.33,2,No,Service
10,100011,51.0,8.38,5,Human Resources,Female,Yes,Yes,1,Sales Executive,Divorced,3.0,283333,13,2,High,10.0,2,High,10.0,5.3,0.5,2,No,Product
11,100012,33.0,9.38,2,Human Resources,Female,Yes,Yes,3,Healthcare Representative,Single,1.0,225000,9,4,Medium,9.0,3,High,0.0,1.8,0.12,0,Yes,Service
14,100015,36.0,6.71,5,Medical,Male,Yes,No,1,Healthcare Representative,Divorced,3.0,91667,8,1,Very High,4.0,2,Medium,1.0,5.8,0.51,1,No,Product
15,100016,50.0,6.2,2,Marketing,Female,Yes,No,4,Healthcare Representative,Divorced,5.0,250000,22,4,Very High,16.0,1,Low,0.0,4.7,0.32,3,No,Service
20,100021,35.0,7.38,5,Medical,Male,No,Yes,4,Sales Executive,Married,4.0,133333,9,2,High,5.0,3,High,2.0,7.6,0.57,2,No,Product
22,100023,46.0,7.1,3,Medical,Male,Yes,No,1,Research Scientist,Single,3.0,183333,9,1,Very High,10.0,1,Low,6.0,6.7,0.46,1,No,Service
26,100027,39.0,7.82,4,Human Resources,Female,No,Yes,2,Manufacturing Director,Single,4.0,183333,9,2,Low,13.0,3,High,5.0,6.6,0.44,2,No,Service
27,100028,27.0,7.51,4,Marketing,Male,No,Yes,3,Manager,Divorced,4.0,58333,25,4,High,2.0,4,Low,2.0,7.4,0.6,2,Yes,Service
28,100029,51.0,6.92,3,Other,Male,No,Yes,1,Sales Representative,Single,5.0,250000,17,1,Very High,19.0,1,Low,14.0,6.7,0.46,2,No,Service
30,100031,51.0,10.1,4,Life Sciences,Male,Yes,No,4,Research Director,Divorced,2.0,241667,11,2,Very Low,10.0,3,High,1.0,3.6,0.2,1,No,Product
31,100032,56.0,9.96,4,Other,Female,Yes,Yes,4,Research Director,Divorced,2.0,258333,7,1,Very Low,18.0,1,High,8.0,3.9,0.2,1,No,Service
32,100033,31.0,7.11,3,Human Resources,Male,No,No,1,Manufacturing Director,Divorced,1.0,133333,17,1,High,5.0,2,High,4.0,3.0,0.19,0,Yes,Service
33,100034,51.0,10.01,1,Technical Degree,Female,No,No,1,Research Scientist,Divorced,3.0,466667,23,4,Very Low,24.0,3,High,18.0,4.7,0.31,1,Yes,Service
34,100035,30.0,10.68,5,Other,Female,No,Yes,1,Research Director,Single,8.0,108333,13,3,Low,8.0,1,Medium,5.0,8.7,0.81,4,No,Product
35,100036,24.0,6.96,4,Medical,Female,Yes,No,4,Sales Executive,Married,5.0,75000,22,3,Medium,3.0,1,Low,1.0,4.4,0.39,3,No,Service
36,100037,43.0,18.18,3,Medical,Male,Yes,No,3,Sales Executive,Divorced,6.0,325000,11,4,Very Low,18.0,2,Low,11.0,5.8,0.42,3,No,Service
37,100038,18.0,6.22,3,Life Sciences,Female,Yes,No,3,Human Resources,Single,2.0,16667,22,3,Very High,0.0,4,Medium,0.0,3.9,0.19,0,No,Product
38,100039,46.0,10.5,1,Technical Degree,Male,Yes,Yes,4,Manufacturing Director,Married,7.0,341667,8,1,Medium,25.0,1,Low,10.0,6.6,0.56,3,Yes,Service
39,100040,24.0,7.39,5,Other,Female,No,Yes,3,Human Resources,Single,7.0,16667,24,4,High,1.0,3,High,1.0,7.3,0.53,4,No,Service
41,100042,32.0,7.66,3,Marketing,Male,Yes,Yes,3,Research Director,Single,3.0,33333,15,4,Very High,0.0,3,Low,0.0,5.4,0.33,1,No,Product
42,100043,33.0,7.64,2,Medical,Female,No,No,2,Research Director,Married,5.0,50000,14,2,Very Low,3.0,4,Medium,0.0,5.0,0.45,2,Yes,Service
43,100044,32.0,8.4,2,Technical Degree,Male,Yes,Yes,4,Research Director,Divorced,3.0,216667,9,3,Very High,10.0,2,Low,7.0,6.0,0.36,2,No,Service
44,100045,34.0,10.98,1,Life Sciences,Female,Yes,Yes,3,Healthcare Representative,Married,6.0,233333,7,4,High,8.0,2,Low,7.0,7.5,0.59,3,Yes,Service
46,100047,56.0,6.49,5,Human Resources,Female,No,Yes,1,Research Director,Single,10.0,208333,19,1,Medium,9.0,3,Low,0.0,10.0,0.94,4,No,Service
49,100050,32.0,6.52,3,Life Sciences,Female,Yes,No,3,Sales Representative,Divorced,3.0,125000,8,4,Very High,8.0,3,Low,5.0,6.0,0.37,1,No,Product
50,100051,36.0,7.77,2,Medical,Female,No,Yes,4,Healthcare Representative,Divorced,6.0,150000,17,2,Very High,8.0,2,Low,7.0,7.4,0.65,2,No,Service
51,100052,46.0,9.08,4,Marketing,Female,Yes,No,3,Laboratory Technician,Single,5.0,500000,11,4,Medium,24.0,1,Medium,5.0,6.4,0.49,2,Yes,Service
54,100055,36.0,7.39,1,Life Sciences,Male,No,Yes,3,Sales Executive,Single,5.0,200000,21,4,Very High,12.0,4,High,6.0,7.4,0.62,2,No,Product
